Keyword,Category,SEA competition index,SEA Cost per click,Demand,month,year
fuel tarif,Fioul - Price,0.38,0.53,90,10,2013
prix fioul superieur,Fioul - Price,0.19,0.62,20,10,2013
acheter du fioul,Fioul - Transactional,0.67,1.22,70,10,2013
prix du fioul limoges,Fioul - Price,0.22,0.3,20,10,2013
prix du fioul seine maritime,Fioul - Price,0.15,0.43,10,10,2013
prix du fioul puy de dome,Fioul - Price,0.09,0.51,10,10,2013
consommation fuel,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.02,,40,10,2013
fioul domestique le moins cher,Fioul - Low cost,0.9,0.7,260,10,2013
prix du fioul allier,Fioul - Price,0.17,,20,10,2013
augmentation du fuel,Fioul - Price,0.11,0.14,10,10,2013
prix du fioul haute normandie,Fioul - Price,0.26,0.33,10,10,2013
prix du fioul strasbourg,Fioul - Price,0.23,1.52,10,10,2013
prix du fioul chauffage,Fioul - Price,0.17,0.26,30,10,2013
prix du fuel de chauffage,Fioul - Price,0.3,0.33,70,10,2013
fioul paiement en plusieurs fois,Fioul - Transactional,0.57,1.44,40,10,2013
vente de fioul,Fioul - Transactional,0.77,1.07,40,10,2013
livraison fuel domestique,Fioul - Transactional,0.32,0.92,90,10,2013
consommation fuel maison,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0,,20,10,2013
fioul meilleur prix,Fioul - Low cost,0.73,0.95,30,10,2013
prix du fioul nord pas de calais,Fioul - Price,0.09,0.79,40,10,2013
prix du fioul haute vienne,Fioul - Price,0.27,0.32,10,10,2013
prix du fioul charente maritime,Fioul - Price,0.13,0.41,10,10,2013
fournisseur fioul,Fioul - Transactional,0.4,0.78,40,10,2013
prix du fioul haute marne,Fioul - Price,0.17,0.62,10,10,2013
comparateur prix du fioul,Fioul - Low cost,0.54,0.57,140,10,2013
prix du fioul ain,Fioul - Price,0.27,0.36,10,10,2013
prix du fioul actuellement,Fioul - Price,0.21,0.31,20,10,2013
prix du fioul rhone,Fioul - Price,0.25,0.96,10,10,2013
augmentation fuel,Fioul - Price,0.11,0.34,10,10,2013
prix du fioul ardeche,Fioul - Price,0.15,0.31,10,10,2013
fioul oise,Fioul - Generic,0.24,0.12,20,10,2013
prix du fuel au litre,Fioul - Price,0.1,0.31,40,10,2013
achat groupé fuel,Fioul - Transactional,0.49,0.63,70,10,2013
prix du fioul domestique bas rhin,Fioul - Price,0.18,0.15,210,10,2013
nettoyage cuve a fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.76,1.35,20,10,2013
fioul en ligne,Fioul - Generic,0.58,0.35,30,10,2013
prix du fioul caen,Fioul - Price,0.29,0.66,10,10,2013
prix du fioul creutzwald,Fioul - Price,0.19,0.16,0,10,2013
prix actuel du fuel,Fioul - Price,0.1,0.3,10,10,2013
le prix du fuel domestique,Fioul - Price,0.27,0.23,30,10,2013
prix du fioul niort,Fioul - Price,0.2,,0,10,2013
consommation fioul maison 120m2,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.04,,70,10,2013
cours du fuel domestique aujourd hui,Fioul - Price,0.19,0.41,50,10,2013
fioul perpignan,Fioul - Generic,0.33,0.22,10,10,2013
prix du fioul charente,Fioul - Price,0.1,0.12,10,10,2013
prix du fioul marne,Fioul - Price,0.2,0.6,10,10,2013
prix du fioul yonne,Fioul - Price,0.24,0.41,10,10,2013
fioul creutzwald,Fioul - Generic,0.26,0.22,10,10,2013
prix du fioul ariege,Fioul - Price,0.15,0.12,10,10,2013
évolution du prix du fioul domestique,Fioul - Price,0.1,0.5,70,10,2013
le prix du litre de fioul,Fioul - Price,0.18,0.26,10,10,2013
prix du fioul abbeville,Fioul - Price,0.17,0.11,0,10,2013
tendance prix fuel,Fioul - Price,0.18,0.36,40,10,2013
nettoyage cuve fuel,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.83,2.41,170,10,2013
courbe du prix du fioul,Fioul - Price,0.09,1.02,10,10,2013
evolution prix du fioul domestique,Fioul - Price,0.14,,90,10,2013
fuel domestique pas cher,Fioul - Low cost,0.91,0.98,70,10,2013
tendance du prix du fioul,Fioul - Price,0.28,0.46,30,10,2013
evolution du prix du fuel domestique,Fioul - Price,0.11,0.54,50,10,2013
fioul ardennes,Fioul - Generic,0.19,1.09,10,10,2013
