Keyword,Category,SEA competition index,SEA Cost per click,Demand,month,year,Close,High,Low,Average,Max,Min
fuel le moins cher,Fioul - Low cost,0.78,0.51,140,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du litre de fuel,Fioul - Price,0.08,0.17,140,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
simulateur consommation fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.07,1.11,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul evolution,Fioul - Price,0.1,0.42,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cours du fioul domestique aujourd hui,Fioul - Price,0.24,0.53,70,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
evolution du prix du fuel,Fioul - Price,0.13,0.27,50,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix moyen du fuel domestique,Fioul - Price,0.21,0.33,70,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul de chauffage,Fioul - Price,0.28,0.65,50,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
evolution prix fuel domestique,Fioul - Price,0.08,0.9,110,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul tendance,Fioul - Price,0.26,0.6,30,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul limoges,Fioul - Generic,0.27,0.25,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
court du fuel,Fioul - Price,0.23,0.26,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tendance prix fioul domestique,Fioul - Price,0.22,0.44,30,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul bretagne,Fioul - Generic,0.4,0.18,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix actuel du fuel domestique,Fioul - Price,0.26,0.22,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix nettoyage cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.74,0.6,50,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
consommation fuel domestique,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.0,,30,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul dordogne,Fioul - Price,0.12,0.38,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul cantal,Fioul - Price,0.12,0.08,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul bas rhin,Fioul - Generic,0.22,0.38,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul lorraine,Fioul - Price,0.09,0.58,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul ardennes,Fioul - Price,0.09,0.5,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul tarn et garonne,Fioul - Price,0.19,0.61,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
achat fuel,Fioul - Transactional,0.85,0.55,50,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul lot et garonne,Fioul - Price,0.16,0.61,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
evolution fioul,Fioul - Price,0.15,0.41,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix de fuel,Fioul - Price,0.3,0.52,110,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fod,Fioul - Price,0.06,0.81,90,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
quand acheter son fioul,Fioul - Transactional,0.29,1.78,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul correze,Fioul - Price,0.03,,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cours du fioul aujourd hui,Fioul - Price,0.12,0.15,30,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
comparateur prix fuel,Fioul - Low cost,0.45,0.35,70,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cours du fuel aujourd hui,Fioul - Price,0.13,0.17,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
augmentation du fioul,Fioul - Price,0.13,0.37,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix de fioul domestique,Fioul - Price,0.34,0.43,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tendance prix du fuel,Fioul - Price,0.2,0.35,140,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul moselle,Fioul - Generic,0.25,0.15,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul drome,Fioul - Price,0.28,0.37,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fournisseur de fioul,Fioul - Transactional,0.46,0.5,70,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul lozere,Fioul - Price,0.11,0.23,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul domestique pas cher,Fioul - Low cost,0.87,0.67,50,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix fioul evolution,Fioul - Price,0.07,0.49,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
